iter	Passed	Remaining
0	2	570
1	5	545
2	7	482
3	9	454
4	11	446
5	14	457
6	16	457
7	18	455
8	21	447
9	23	443
10	25	446
11	28	449
12	31	451
13	33	445
14	35	438
15	37	433
16	40	430
17	42	427
18	44	422
19	46	417
20	48	414
21	51	412
22	53	409
23	55	406
24	57	402
25	59	399
26	62	398
27	64	395
28	66	393
29	68	390
30	71	388
31	73	385
32	75	382
33	78	381
34	80	378
35	82	376
36	84	373
37	86	370
38	88	367
39	90	363
40	93	361
41	95	359
42	97	356
43	99	354
44	102	351
45	104	349
46	106	347
47	109	345
48	109	338
49	112	336
50	114	335
51	116	332
52	119	331
53	122	330
54	124	328
55	126	326
56	129	324
57	131	322
58	134	320
59	136	319
60	139	318
61	141	315
62	144	313
63	146	311
64	149	309
65	153	311
66	155	309
67	157	306
68	160	304
69	162	302
70	165	300
71	167	297
72	169	294
73	171	291
74	172	287
75	174	284
76	176	282
77	178	279
78	181	277
79	183	274
80	185	272
81	187	269
82	189	267
83	191	264
84	194	262
85	196	260
86	198	258
87	201	256
88	203	253
89	205	251
90	208	249
91	210	247
92	213	245
93	215	242
94	217	240
95	219	237
96	221	235
97	224	233
98	226	231
99	228	228
100	230	226
101	232	223
102	234	221
103	236	218
104	239	216
105	241	214
106	243	211
107	245	209
108	247	206
109	249	204
110	251	201
111	254	199
112	256	197
113	258	194
114	260	192
115	262	189
116	264	187
117	266	185
118	268	182
119	270	180
120	272	177
121	274	175
122	276	173
123	278	170
124	280	168
125	282	166
126	285	163
127	287	161
128	289	159
129	291	157
130	294	154
131	296	152
132	298	150
133	301	148
134	303	145
135	305	143
136	307	141
137	309	138
138	311	136
139	313	134
140	315	132
141	317	129
142	319	127
143	322	125
144	324	122
145	326	120
146	328	118
147	330	116
148	332	113
149	334	111
150	336	109
151	338	106
152	340	104
153	342	102
154	344	99
155	346	97
156	348	95
157	350	93
158	352	90
159	354	88
160	356	86
161	358	84
162	361	81
163	362	79
164	365	77
165	367	75
166	369	72
167	371	70
168	373	68
169	375	66
170	377	64
171	380	61
172	382	59
173	384	57
174	387	55
175	389	53
176	391	50
177	393	48
178	395	46
179	397	44
180	400	42
181	402	39
182	404	37
183	406	35
184	408	33
185	410	30
186	413	28
187	415	26
188	417	24
189	419	22
190	421	19
191	423	17
192	425	15
193	427	13
194	429	11
195	432	8
196	434	6
197	436	4
198	438	2
199	441	0
